Site,Season,Year,WD,Date,Water Temp.,Conductivity,TDS,Salinity,pH,Turbidity,DO,BOD,Nitrite,Nitrate,Ammonium,DIN,TN,phosphate,TP,Total Quality,Catchment.x,HESY2,MI_QUALITY,IPS,Index Value,Diat_QUALITY,HEFI,FISH_QUALITY,Lat,Lon,Elevation,Dist. To Source (m),Slope (%),Mean Jan Temp,Int. Type R-M,Catch. Area At Site (Km²),Near tural (%),Artificial (%),Agriculture (%)
ANTHEM_DW,SUMMER,2019,Κεντρ. Μακεδονία (10),19/09/2019,18.3,2178,1088,1.12,7.77,6.54,39.7,7,2.362,0.858,24.7,27.92,31.836,5.92,5.928,POOR,Anthemountas,0.67,MODERATE,5,0.306748466,POOR,,,40.516981,22.991656,5,17453.26,0.17,4.5,RM2,299.23,52.34,1.08,46.59
ANTHEM_DW,WINTER,2019,Κεντρ. Μακεδονία (10),1/3/2019,8.59,2161,1081,1.11,8.08,35.1,62.7,10.4,0.437,6.083,55.8,62.32,65.45,12.7,13.29,POOR,,,,,,,,,40.516981,22.991656,5,17453.26,0.17,4.5,RM2,299.23,52.34,1.08,46.59
P004,SUMMER,2018,Θεσσαλία (08),26/08/2018,28.22,2170,,1.1,7.76,7.99,98.2,6.2,0.003,0.128,0.046,0.176,0.431,0.041,0.045,HIGH,Pinios Thess.,,BAD,12.8,,MODERATE,,,39.921888,22.701567,3,230883.09,0.02,6,VERY_LARGE,10721.1,30.15,2.35,64.39
GIAFYROS,SPRING,2021,Κρήτη (13),26/05/2021,22.3,2087,1042,1.07,7.87,2.66,92.5,4.2,0.051,2.279,0.039,2.369,2.628,0.023,0.024,GOOD,,,,,,,,,35.32106389,25.10622778,8,29220.34,0.21,12,RM5,169.76,10.78,0.28,88.94
ANTHEM_DW,SUMMER,2018,Κεντρ. Μακεδονία (10),18/09/2018,21,2047,1330,1.03,8.18,23.8,16.4,28.6,3.377,1.514,13.85,18.74,22.466,3.027,3.102,BAD,Anthemountas,0.44,POOR,,,,,,40.516981,22.991656,5,17453.26,0.17,4.5,RM2,299.23,52.34,1.08,46.59
MAVRONER,SUMMER,2021,Δυτ. Μακεδονία (09),14/07/2021,31.19,2017,1009,1.02,7.25,22.2,12.8,81.6,0.074,0.036,17.34,17.45,19.44,0.26,0.426,POOR,,0.22,BAD,2.3,0.141104294,BAD,,,40.215563,22.562989,7,50925.88,0.08,5.4,RM2,636.45,56.29,0.97,42.4
GIAFYROS,SPRING,2019,Κρήτη (13),6/6/2019,22.92,1921,929,0.98,7.76,2.89,,3.4,0.051,3.279,0.201,3.531,3.696,1.576,1.584,POOR,Remata Voreiou Tmimatos Chanion - Rethymnou,,,,,,,,35.32106389,25.10622778,8,29220.34,0.21,12,RM5,169.76,10.78,0.28,88.94
GAZANOS_DW,SPRING,2021,Κρήτη (13),26/05/2021,20.7,1873,937,0.95,8.39,4.79,142.6,3.1,0.017,3.993,0.016,4.026,4.128,0.075,0.089,GOOD,,,,,,,,,35.33528542,25.063828,8,21305.2,0.32,12,RM2,188.32,3.45,0,93.92
MAVROPOTAMO,SPRING,2019,Ήπειρος (05),8/4/2019,14.73,1836,917,0.93,7.98,15.7,69.6,0,0.016,0.764,0.104,0.884,0.923,0.014,0.02,GOOD,Acherontas,0.7,GOOD,15.9,0.975460123,HIGH,,,39.23174098,20.50100009,5,61430.85,0.03,9,RM2,791.21,25.14,1.46,72.71
ANTHEM_DW,SPRING,2019,Κεντρ. Μακεδονία (10),24/05/2019,17.44,1824,912,0.93,7.85,13.8,14.3,9.8,0.638,0.662,47.8,49.1,59.724,9.28,9.694,BAD,Anthemountas,0.33,POOR,2.3,0.141104294,BAD,,,40.516981,22.991656,5,17453.26,0.17,4.5,RM2,299.23,52.34,1.08,46.59
GAZANOS_DW,SPRING,2019,Κρήτη (13),6/6/2019,19.47,1804,902,0.92,7.86,3.19,,3.9,0.036,5.244,0.023,5.303,5.388,0.064,0.066,GOOD,Remata Voreiou Tmimatos Chanion - Rethymnou,,,,,,,,35.33528542,25.063828,8,21305.2,0.32,12,RM2,188.32,3.45,0,93.92
GAZANOS_DW,WINTER,2018,Κρήτη (13),27/02/2018,15.6,1843,1195,0.91,7.84,8.44,107.7,0,0.018,1.872,0.06,1.95,1.958,0.115,0.131,MODERATE,,,,,,,,,35.33528542,25.063828,8,21305.2,0.32,12,RM2,188.32,3.45,0,93.92
GIAFYROS,WINTER,2021,Κρήτη (13),15/01/2021,13.02,1774,887,0.91,7.97,21.4,71.2,0,0.03,2.6,0.049,2.679,2.894,0.038,0.048,GOOD,,,,,,,,,35.32106389,25.10622778,8,29220.34,0.21,12,RM5,169.76,10.78,0.28,88.94
ANTHEM_DW,SUMMER,2020,Κεντρ. Μακεδονία (10),5/9/2020,18.53,1741,871,0.89,7.75,,35.1,11.2,0.755,0.455,45,46.21,52.464,9.444,10.356,POOR,Anthemountas,,,,,,,,40.516981,22.991656,5,17453.26,0.17,4.5,RM2,299.23,52.34,1.08,46.59
INDUSTRY,SUMMER,2021,Ανατόλ. Στερεά Ελλάδα (07),27/08/2021,23.22,1714,857,0.87,7.85,5.43,55.8,5.6,0.114,5.896,0.106,6.116,6.792,0.726,0.83,POOR,,0.22,BAD,9.1,0.558282209,MODERATE,0.25,POOR,38.3056496,23.6236035,74,20666.25,0.3,8,RM2,435.73,21.84,0.33,77.84
LASPO_UP,WINTER,2021,Θράκη (12),12/2/2021,11.95,1691,846,0.86,7.83,117,78.1,19.4,0.243,3.387,13.85,17.48,20.532,1.891,2.025,POOR,,,,,,,,,40.972236,24.895455,6,25804.76,0.04,5.1,RM2,184.08,,,
GEF_KALOGIROU,WINTER,2019,Ήπειρος (05),9/2/2019,14.27,1689,845,0.86,7.87,13.5,,1.7,0.005,0.855,0.055,0.915,1.091,0.023,0.051,GOOD,,,,,,,,,39.1780525,20.88530543,8,60920.04,0.08,8.1,RM2,471.21,21.84,6.22,71.94
CHALKOUTSI,SUMMER,2021,Ανατόλ. Στερεά Ελλάδα (07),27/08/2021,26.29,1700,850,0.85,,45.4,33,5.9,0.066,8.39,0.042,8.498,8.724,0.017,0.03,MODERATE,,0.22,BAD,11.3,0.693251534,MODERATE,,,38.3291506,23.7479782,2,39474.99,0.22,9.7,RM2,689.62,47.03,4.66,48.31
THOK,SPRING,2020,Δυτ. Πελοπόννησος (01),25/05/2020,20.06,1665,832,0.84,7.7,,103,,0.169,27.381,0.124,27.674,29.208,0.001,0.006,MODERATE,,,,,,,,,37.41756452,22.08756002,361,45475.68,0.02,6.5,RM2,234.13,68.43,4.55,27.02
CHALKOUTSI,SUMMER,2020,Ανατόλ. Στερεά Ελλάδα (07),25/08/2020,29.51,1613,807,0.81,8.19,14.9,118.3,3.9,0.099,9.101,0.032,9.232,9.276,0.002,0.009,MODERATE,Asopos Viot.,0.44,POOR,8.5,0.521472393,MODERATE,,,38.3291506,23.7479782,2,39474.99,0.22,9.7,RM2,689.62,47.03,4.66,48.31
RAIZANH,WINTER,2019,Βόρ. Πελοπόννησος (02),18/02/2019,11.7,1573,786.3,0.8,8.5,87.8,26.4,0,0.237,37.153,0.203,37.593,37.924,0.139,0.145,POOR,,,,,,,,,37.90862724,22.82129841,47,20052.31,0.49,8.8,RM5,134.16,0,5.33,94.67
TAGER,WINTER,2018,Νήσοι Αιγαίου (14),26/02/2018,13.2,1570,975,0.8,8.07,2.5,125,5.3,0.038,0.192,0.144,0.374,0.506,0.035,0.053,GOOD,,,,,,,,,37.623696,25.136161,6,6726.15,0.31,11.1,RM1,36.49,38.68,0,61.32
GIAFYROS,WINTER,2018,Κρήτη (13),27/02/2018,14.1,1574,1023,0.78,7.65,21.2,108.7,0,0.056,1.834,0.051,1.941,2.014,0.056,0.187,MODERATE,,,,,,,,,35.32106389,25.10622778,8,29220.34,0.21,12,RM5,169.76,10.78,0.28,88.94
APODIARIS_DW,SPRING,2019,Κρήτη (13),7/6/2019,23.72,1546,773,0.78,8.31,9.41,,2,0.01,1.18,0.016,1.206,1.271,0.001,0.004,GOOD,Remata Notiou Tmimatos Chanion - Rethymnou,0.6,MODERATE,16.9,,GOOD,,,34.99905002,25.32956581,38,35089.05,0.62,11.9,RM5,529.36,9.79,0,90.21
RAIZANH,SPRING,2019,Βόρ. Πελοπόννησος (02),10/5/2019,16,1544.7,988,0.76,7.8,105.3,,0,0.239,32.671,0.064,32.974,33.432,0.261,0.268,POOR,Raizani,0.6,MODERATE,6.3,,POOR,,,37.90862724,22.82129841,47,20052.31,0.49,8.8,RM5,134.16,0,5.33,94.67
N_KIOS,SPRING,2018,Ανατόλ. Πελοπόννησος (03),30/04/2018,21.7,1386,900,0.75,7.91,5.12,64,0,0.001,0.017,0.015,0.033,0.093,0.01,0.021,HIGH,Ichos,0.6,MODERATE,5.4,,POOR,,,37.59361844,22.7448671,1,27597.37,0.08,9.2,RM5,489.39,54.52,0,44.24
ANTHEM_DW,WINTER,2021,Κεντρ. Μακεδονία (10),31/01/2021,5.03,1551,788,0.74,8.14,37.5,61,8.4,0.878,1.752,30.4,33.03,39.384,5.371,5.591,POOR,,,,,,,,,40.516981,22.991656,5,17453.26,0.17,4.5,RM2,299.23,52.34,1.08,46.59
PSAR_DW,SPRING,2019,Κεντρ. Μακεδονία (10),18/05/2019,19.23,1468,734,0.74,8.22,11.5,120.4,6.5,0.065,3.495,0.087,3.647,3.66,0.017,0.026,GOOD,Axios,0.78,GOOD,13.6,0.834355828,GOOD,0.43,MODERATE,41.046062,22.662448,26,49138.02,0.1,3.9,RM2,621.3,30.32,2.34,66.5
CHALKOUTSI,SPRING,2021,Ανατόλ. Στερεά Ελλάδα (07),27/05/2021,26.28,1470.6,735,0.73,8.33,5.18,163.8,3.6,0.086,7.654,0.043,7.783,8.424,0.04,0.056,GOOD,,,,10,0.613496933,MODERATE,,,38.3291506,23.7479782,2,39474.99,0.22,9.7,RM2,689.62,47.03,4.66,48.31
ANTHEM_DW,SPRING,2021,Κεντρ. Μακεδονία (10),27/05/2021,20.13,1397.7,697.7,0.71,8.03,39.3,59.3,25.3,1.689,2.171,44.6,48.46,48.636,6.74,7.328,BAD,,,,,,,,,40.516981,22.991656,5,17453.26,0.17,4.5,RM2,299.23,52.34,1.08,46.59
ALMYR_DW,SPRING,2021,Θεσσαλία (08),12/5/2021,22.8,1386,692,0.69,7.1,16.6,172,60,1.368,1.082,26.6,29.05,33.216,0.578,0.627,POOR,,,,,,,,,39.18198732,22.77727457,37,36569.66,0.5,7.2,RM2,154.15,54.53,0,45.47
GALLIKOS_MD,SUMMER,2020,Κεντρ. Μακεδονία (10),3/9/2020,21.02,1391,678.5,0.68,7.73,4.97,124.3,5.1,0.03,5.81,0.022,5.862,6.072,0.028,0.031,GOOD,Gallikos,,,12,0.736196319,GOOD,0.7,GOOD,40.80758333,22.85614722,55,53900.54,0.22,3.9,RM2,850.91,42.08,0.92,55.36
ANTHEM_DW,WINTER,2020,Κεντρ. Μακεδονία (10),2/2/2020,4.1,1339,672,0.67,6.72,8.05,41,8.4,0.331,5.499,23.22,29.05,34.692,5.6,6.045,BAD,,,,,,,,,40.516981,22.991656,5,17453.26,0.17,4.5,RM2,299.23,52.34,1.08,46.59
MAVRONER,SUMMER,2018,Δυτ. Μακεδονία (09),13/09/2018,24.1,1402,911,0.66,8,51.4,0,95.7,0.007,0.001,10.3,10.308,13.928,1.9,1.915,POOR,Mavroneri,0.44,POOR,2.5,0.153374233,BAD,0.31,POOR,40.215563,22.562989,7,50925.88,0.08,5.4,RM2,636.45,56.29,0.97,42.4
BOGDANO,SPRING,2021,Κεντρ. Μακεδονία (10),29/05/2021,21.61,1311,655.5,0.66,8.02,13.8,71,18.5,0.172,0.698,25.2,26.07,54.24,6.26,6.597,POOR,,,,,,,,,40.72882778,23.06355,91,46003.68,0.33,3.8,RM2,201.24,50.35,0.31,48.6
KOUSBASAN,WINTER,2021,Θεσσαλία (08),1/3/2021,8.18,1273,636,0.66,7.88,5.06,77,,0.119,12.611,0.042,12.772,13.704,0.105,0.132,MODERATE,,,,,,,,,39.62813105,22.49352815,70,41898,0.03,5.3,RM5,91.7,0,6.82,93.18
AMYNTAS,SUMMER,2018,Δυτ. Μακεδονία (09),16/09/2018,19.2,1367,887,0.65,8.68,12.2,81.7,0.3,0.007,1.913,0.016,1.936,2.52,0.022,0.035,GOOD,Aliakmos,0.9,HIGH,11.2,0.664688427,MODERATE,0.22,POOR,40.660245,21.64816,593,28276.9,0.04,1.9,RM4,219.94,48.34,4.02,47.64
THOK,SUMMER,2019,Δυτ. Πελοπόννησος (01),20/07/2019,23.6,1307,653,0.65,7.69,1.18,68.7,6.5,0.702,1.198,18.05,19.95,20.292,0.001,0.022,MODERATE,Alfeios,0.78,GOOD,16.1,0.987730061,HIGH,0.36,POOR,37.41756452,22.08756002,361,45475.68,0.02,6.5,RM2,234.13,68.43,4.55,27.02
GALLIKOS_MD,SUMMER,2018,Κεντρ. Μακεδονία (10),19/09/2018,18.9,1356,882,0.64,8.32,2.83,102.3,3.4,0.023,5.687,0.018,5.728,6.199,0.028,0.037,GOOD,Gallikos,0.56,MODERATE,11.4,0.699386503,MODERATE,0.66,GOOD,40.80758333,22.85614722,55,53900.54,0.22,3.9,RM2,850.91,42.08,0.92,55.36
KERASOUNTA,SUMMER,2019,Ήπειρος (05),29/08/2019,18.1,1267,634,0.64,7.77,7.6,,3.6,0.01,0.75,0.06,0.82,0.84,0.055,0.058,GOOD,Louros,0.89,GOOD,9.8,0.601226994,MODERATE,0.31,POOR,39.14932,20.85898,5,65358.14,0.04,8.3,RM2,484.56,67.89,2.44,29.67
RAIZANH,WINTER,2020,Βόρ. Πελοπόννησος (02),12/2/2020,10.47,1259,631,0.64,8.07,29.5,114.1,0,0.049,37.161,0.019,37.229,37.884,0.002,0.005,GOOD,,,,,,,,,37.90862724,22.82129841,47,20052.31,0.49,8.8,RM5,134.16,0,5.33,94.67
ALMYR_DW,SUMMER,2020,Θεσσαλία (08),28/08/2020,28.7,1273,636,0.63,7.88,6.24,69.2,6.2,0.12,6.66,0.215,6.995,7.404,1.39,1.518,POOR,Xirias (Almyros),0.78,GOOD,4.6,0.282208589,POOR,,,39.18198732,22.77727457,37,36569.66,0.5,7.2,RM2,154.15,54.53,0,45.47
PSAR_DW,SUMMER,2020,Κεντρ. Μακεδονία (10),3/9/2020,22.94,1271,635,0.63,7.75,8.85,106.97,6.7,0.034,4.886,0.032,4.952,5.016,0.003,0.009,GOOD,Axios,,,11.1,0.680981595,MODERATE,0.29,POOR,41.046062,22.662448,26,49138.02,0.1,3.9,RM2,621.3,30.32,2.34,66.5
MESOHOR,SUMMER,2020,Θράκη (12),6/9/2020,21.89,1269,629,0.63,7.49,9.83,64.6,55,0.134,0.636,27.7,28.47,33.42,2.359,2.592,POOR,Rema Komotinis - Loutrou Evrou,,,,,,,,41.09726759,25.36603061,22,14835.93,0.13,4.6,RM2,125.18,,,
GALLIKOS_MD,SUMMER,2021,Κεντρ. Μακεδονία (10),1/9/2021,18.34,1263,632,0.63,7.25,4.39,86,41,0.044,6.016,0.031,6.091,6.168,0.031,0.039,GOOD,,0.44,POOR,12.5,0.766871166,GOOD,0.73,GOOD,40.80758333,22.85614722,55,53900.54,0.22,3.9,RM2,850.91,42.08,0.92,55.36
GALLIKOS_MD,SPRING,2021,Κεντρ. Μακεδονία (10),27/05/2021,17.14,1255,628,0.63,7.76,7.58,74.27,2.5,0.027,4.663,0.022,4.712,4.788,0.039,0.048,GOOD,,0.56,MODERATE,12.9,0.791411043,GOOD,,,40.80758333,22.85614722,55,53900.54,0.22,3.9,RM2,850.91,42.08,0.92,55.36
KIFISOS_UP,SUMMER,2021,Αττική (06),15/09/2021,18.94,1251,625,0.63,7.8,12.4,95.7,4.2,0.083,4.957,0.156,5.196,5.388,2.197,2.272,POOR,,0.44,POOR,4.5,0.28125,POOR,0.66,GOOD,38.1069224,23.8100553,235,10253.89,1.63,7.8,RM1,37.78,60.41,4.55,35.03
GERO_DW,WINTER,2021,Κρήτη (13),15/01/2021,12.7,1247,619,0.62,8.02,2.07,98.23,0.6,0.05,1.03,0.104,1.184,1.407,0.028,0.042,GOOD,,,,,,,,,35.40688404,24.68209798,20,34599.51,0.22,11.6,RM5,321.41,2.86,0,97.14
VOZVOZ,SUMMER,2020,Θράκη (12),6/9/2020,24.56,1244,622,0.62,7.77,12,70.43,9.5,0.423,0.587,20.4,21.41,25.836,3.047,3.167,POOR,Bospos,0.56,MODERATE,6,0.36809816,POOR,0.29,POOR,41.01488751,25.31924269,13,25395.4,0.05,5,RM2,315.39,,,
GALLIKOS_MD,SPRING,2019,Κεντρ. Μακεδονία (10),19/05/2019,18.01,1231,616,0.62,7.76,7,99,0.8,0.048,3.532,0.041,3.621,3.624,0.07,0.072,MODERATE,Gallikos,0.89,GOOD,15,0.920245399,GOOD,,,40.80758333,22.85614722,55,53900.54,0.22,3.9,RM2,850.91,42.08,0.92,55.36
THOK,WINTER,2020,Δυτ. Πελοπόννησος (01),31/01/2020,10.42,1226.6,614,0.62,8.18,0.95,99.2,1.7,0.373,1.457,9.2,11.03,13.584,0.001,0.004,MODERATE,,,,,,,,,37.41756452,22.08756002,361,45475.68,0.02,6.5,RM2,234.13,68.43,4.55,27.02
KOUSBASAN,SPRING,2019,Θεσσαλία (08),8/5/2019,14.53,123,615,0.62,7.86,20.5,38.57,1.4,0.001,0.01,0.038,0.049,0.465,1.001,1.003,MODERATE,Pinios Thess.,0.6,MODERATE,6.9,,POOR,,,39.62813105,22.49352815,70,41898,0.03,5.3,RM5,91.7,0,6.82,93.18
KARTEROS,SUMMER,2018,Κρήτη (13),23/07/2018,23.25,1164,762,0.615,6.07,63.5,167.32,7.3,0.003,4.367,0.032,4.402,4.973,0.45,0.485,MODERATE,,,,,,,,,35.27713294,25.20570708,79,16314.59,0.36,11.6,RM5,167.01,20.36,0,79.64
GALLIKOS_MD,SUMMER,2019,Κεντρ. Μακεδονία (10),19/09/2019,18.2,1224,612,0.61,7.8,8.87,98.2,2.2,0.03,6.28,0.022,6.332,6.456,0.027,0.03,GOOD,Gallikos,1,HIGH,13.1,0.803680982,GOOD,0.7,GOOD,40.80758333,22.85614722,55,53900.54,0.22,3.9,RM2,850.91,42.08,0.92,55.36
KOUSBASAN,WINTER,2019,Θεσσαλία (08),20/02/2019,8.92,1217,608,0.61,8.35,37.2,108.4,2.2,0.093,19.83,0.186,20.11,20.3,0.082,0.101,MODERATE,,,,,,,,,39.62813105,22.49352815,70,41898,0.03,5.3,RM5,91.7,0,6.82,93.18
PSAR_DW,WINTER,2021,Κεντρ. Μακεδονία (10),29/01/2021,6.17,1210,605,0.61,7.7,9.77,88.4,0,0.145,6.365,0.106,6.616,6.852,0.075,0.094,MODERATE,,,,,,,,,41.046062,22.662448,26,49138.02,0.1,3.9,RM2,621.3,30.32,2.34,66.5
GALLIKOS_MD,WINTER,2020,Κεντρ. Μακεδονία (10),5/2/2020,11.61,1207,605,0.61,7.67,2.67,66.9,0,0.013,5.107,0.016,5.136,5.34,0.037,0.039,GOOD,,,,,,,,,40.80758333,22.85614722,55,53900.54,0.22,3.9,RM2,850.91,42.08,0.92,55.36
